longitude,latitude,Year,LST,NDVI,NDBI,NDWI
81.55702018058663,21.178393851755413,2022,45.72901202000003,0.12026938,0.05044363,-0.14899208
81.64803642620063,21.24326947806197,2022,43.35348812000001,0.2026422,-0.05716129,-0.21211673
81.5364507191464,21.295511611385876,2022,43.546606250000025,0.20316927,-0.018564073,-0.21114784
81.5898481218558,21.165810307670377,2022,48.817193090000046,0.14099051,0.047893923,-0.18103045
81.49651446262969,21.264501906822254,2022,40.29094220000002,0.26815784,-0.1113661,-0.25904527
81.71259364518578,21.319762922116496,2022,48.993221120000044,0.16209906,0.064636916,-0.19237645
81.62663484544487,21.232946586020578,2022,44.43358244000001,0.120737225,-0.01560687,-0.14620335
81.65868468649236,21.24154010067345,2022,43.585913480000045,0.07634719,0.008263275,-0.102836594
81.57320025818653,21.256160808556825,2022,44.530996010000024,0.12730683,-0.009722389,-0.15313517
81.64538053436634,21.24176620699931,2022,42.93648968000002,0.120400816,-0.011127204,-0.14267465
81.68495149409831,21.235884254976668,2022,43.50217199000002,0.1775323,-0.018585943,-0.18647332
81.64024013469614,21.255174749317234,2022,44.40282026,0.15427342,-0.0077590984,-0.17933196
81.72415010371883,21.232304383129524,2022,47.98832324,0.14801592,0.037022248,-0.19604647
81.68455562750782,21.13425405810118,2022,46.79372525000002,0.13661498,0.06729252,-0.18797642
81.74282244276601,21.315755301337926,2022,50.90047628000002,0.13721791,0.04932395,-0.1847296
81.57427633486647,21.311748940757017,2022,50.418535460000044,0.113175206,0.030046199,-0.13609178
81.63987122351382,21.326145259293124,2022,42.00337022000002,0.040819217,-0.025908181,-0.041851677
81.69537697681106,21.20182114824312,2022,47.59525094000003,0.08553921,0.06462011,-0.1217052
81.55535708428418,21.242192202994207,2022,45.24194417000001,0.15684114,0.011890569,-0.1750331
81.53035335729065,21.28089348483019,2022,49.46319887000004,0.121010855,0.046058174,-0.15757778
81.69794747931876,21.32556357940541,2022,48.716361500000005,0.13894737,0.02402762,-0.16625163
81.54580602126613,21.21891036125095,2022,51.83359574000002,0.13463917,0.029053695,-0.17047751
81.68977263983285,21.132725689063655,2022,48.591603770000006,0.1415261,0.06552871,-0.19092311
81.55041926008857,21.24676901469852,2022,50.96200064000004,0.13776103,0.038922064,-0.16677819
81.6866575917718,21.150244216507648,2022,45.24878021000001,0.12057225,0.059732936,-0.1600935
81.60084865093819,21.27852546742442,2022,47.438022020000005,0.10946955,0.0012026883,-0.12705065
81.64228739182798,21.27478402438701,2022,41.603461880000054,0.21726348,-0.04531624,-0.20601252
81.59225850159072,21.37399406610401,2022,45.55469300000004,0.10116632,0.036994405,-0.14161171
81.57282532580037,21.2603350837669,2022,44.01487499000001,0.094956376,-0.0012325812,-0.12130217
81.5469349830569,21.24255282267882,2022,37.7616074,0.24570699,-0.13270466,-0.2330581
81.53585292361228,21.276614978427588,2022,44.95995751999999,0.20684579,-0.034678616,-0.2132761
81.63505095649121,21.277703446743107,2022,44.53270501999998,0.08323968,0.0017606241,-0.10679017
81.56843645569496,21.170071216189402,2022,48.08402780000006,0.11403965,0.044685017,-0.16182573
81.5771061974977,21.24308022887342,2022,42.28877489000001,0.09217877,-0.06366993,-0.09022107
81.60254358567016,21.271251707556576,2022,43.08346454000002,0.120115995,-0.02478531,-0.14101368
81.59263771293581,21.346302467277773,2022,50.21345426000005,0.07861486,0.009529541,-0.11444695
81.71184960048532,21.193583212560938,2022,46.83986851999998,0.15939997,0.043183986,-0.1831399
81.65026563158605,21.3302395611071,2022,48.34721534000005,0.16101953,0.02189077,-0.1762341
81.64900309447046,21.36204080275643,2022,50.81331677000003,0.06703759,0.01509363,-0.07988463
81.57269817955083,21.201060529699088,2022,45.08642426000006,0.13716093,7.896353E-4,-0.17980593
81.57860053849176,21.238636191780632,2022,45.51367676000001,0.16466525,-0.0025418638,-0.18293525
81.49800342215238,21.23350281448119,2022,47.62601312000004,0.14381646,0.029180396,-0.17652984
81.56180122531883,21.365788618362195,2022,46.877466740000045,0.095123716,0.040678646,-0.13282852
81.56221727639878,21.300183902295448,2022,46.59206207,0.13180359,0.034286335,-0.16523634
81.50340535699786,21.286963565970208,2022,44.828363749999994,0.22062516,-0.08679173,-0.22936174
81.72486702330444,21.245322843546944,2022,48.627492980000056,0.19508782,-0.0019653281,-0.21888381
81.63938043698964,21.292487512987215,2022,44.79247454000006,0.076832674,0.017492125,-0.102462865
81.66877256727851,21.24541403232235,2022,44.23191926000004,0.11573224,-0.011911623,-0.14599653
81.53302088022747,21.277715813146937,2022,46.49806652000001,0.0920631,-0.104502976,-0.14634705
81.61021254503339,21.347421086900862,2022,51.35165491999999,0.11458006,0.048476536,-0.15253502
81.55272753082322,21.314332800898317,2022,41.750436740000055,0.19189693,-0.047918197,-0.19644424
81.61410819827634,21.289276474221154,2022,49.76740265000001,0.04814158,0.014123855,-0.0702837
81.59162638178292,21.23966375221768,2022,43.78757666000001,0.21487221,-0.06341008,-0.2149586
81.52276552646931,21.21149451600381,2022,42.85445720000001,0.13573787,0.03895988,-0.17272265
81.66332420171499,21.203030088590943,2022,44.61986453000003,0.11099741,0.024689695,-0.14854977
81.57792434523898,21.28531530715112,2022,42.99459602000002,0.16847116,-0.017536135,-0.14858374
81.5676226855256,21.18868202006896,2022,45.455570420000015,0.10116232,0.09424858,-0.13973434
81.7285505532883,21.230781320286457,2022,46.69631168000001,0.1726433,0.01832484,-0.20146601
81.59837388587619,21.22978647993922,2022,46.79543425999998,0.09621134,0.035562664,-0.1428259
81.65675572891676,21.201676888971065,2022,43.326143960000024,0.20979257,-0.024426585,-0.21427116
81.63052967103897,21.24487368818629,2022,43.5209711,0.18910466,-0.06584523,-0.19724654
81.50305235082305,21.299613584799726,2022,42.71090035999998,0.18790758,-0.024739213,-0.1960348
81.58223081581001,21.229084688296957,2022,49.43927273000003,0.15851134,0.020630432,-0.18889272
81.62075240319338,21.24936285291427,2022,43.886699239999984,0.07592491,0.018879212,-0.105460264
81.74872587507011,21.266320456261855,2022,52.44542132000004,0.0907202,0.07209596,-0.13779223
81.52852060949678,21.273321967301612,2022,46.682639600000016,0.14580467,-0.008203335,-0.15033181
81.57472511912817,21.16429162099055,2022,49.10772479000002,0.13195172,0.045403354,-0.17168254
81.73335319729989,21.273165332351237,2022,51.61484245999998,0.14295018,0.04527321,-0.18221623
81.70792514995624,21.264656094124692,2022,42.635703920000026,0.21772404,-0.061268546,-0.22056699
81.6444034809998,21.343395291774755,2022,46.915064959999995,0.08045134,0.012104734,-0.106319085
81.6233390714087,21.139095081498567,2022,46.86037664000003,0.14042063,0.01050115,-0.1734075
81.67610915584282,21.314604606708595,2022,46.5630089,0.17233,0.02139442,-0.1815125
81.55121749343999,21.207100830072196,2022,47.438022020000005,0.10317166,0.063358516,-0.16121478
81.67300236838084,21.133795627578536,2022,47.892618680000055,0.2193795,0.015658414,-0.22769584
81.62609589643532,21.304511641915504,2022,46.16651858,0.058598492,0.010725335,-0.09403334
81.56424002927022,21.17302605592006,2022,46.79543425999998,0.16730149,0.0034705938,-0.18628801
81.59165284231277,21.218715115854277,2022,45.55469300000004,0.11410563,-0.004113614,-0.13156733
81.62116733309446,21.378276047397215,2022,41.827342190000024,0.14819348,-0.0055899085,-0.16930628
81.64907831254519,21.332705980164427,2022,49.77594770000002,0.087714106,0.019508453,-0.122470796
81.57115317069793,21.313030450388826,2022,50.36042912000005,0.11031815,0.023842547,-0.14003626
81.66623625765106,21.36262225854911,2022,48.07206473000002,0.13620031,-0.004977113,-0.12307899
81.58860721138589,21.19667197893525,2022,48.18315038000003,0.1734951,0.035436857,-0.2013711
81.69829210023592,21.359821588809723,2022,50.53816616000006,0.10953784,0.04815637,-0.14914207
81.554461327335,21.342825517401106,2022,46.292985320000014,0.09512538,0.056220178,-0.122045465
81.67396903933432,21.18191448738084,2022,46.908228920000056,0.16821042,0.04608767,-0.19891877
81.5206011088137,21.246456254434555,2022,45.36670190000001,0.1484305,0.012499599,-0.15773216
81.6963859598757,21.17750605543438,2022,44.652335719999996,0.17288002,0.007616447,-0.18895534
81.70034745162992,21.169560528108253,2022,45.56665607000002,0.17513576,-0.013829851,-0.20244266
81.73770658318563,21.326048301444658,2022,48.224166620000005,0.12759833,0.060714636,-0.15914252
81.52195502456762,21.19605278251403,2022,42.782678780000026,0.11896096,0.03406641,-0.15959178
81.57757818824982,21.324175217240946,2022,51.80966960000001,0.05154547,0.0717975,-0.07067491
81.68294835485038,21.314323199910987,2022,45.88111391000001,0.21758674,-0.010840902,-0.21481125
81.72703360320821,21.15377380215939,2022,48.12675305000005,0.15233608,0.05884239,-0.19879508
81.62491569895845,21.31485545301903,2022,46.77492614000005,0.09308118,0.02590422,-0.1272523
81.6102556265048,21.371172577647588,2022,47.91483581,0.094137736,0.031373866,-0.12399142
81.49484362404513,21.224554125129025,2022,48.49760822000002,0.12498235,0.04372618,-0.16602628
81.67439462224566,21.156068316601072,2022,41.08734086000004,0.1987056,-0.036270436,-0.20203328
81.59902368101415,21.285138872108128,2022,48.05497463000006,0.10073573,0.01699021,-0.12727134
81.5187595269797,21.332686311682412,2022,51.40634324000001,0.11042818,0.066883326,-0.16160959
81.71317393699759,21.24622707890439,2022,50.88338618,0.13759601,0.05928418,-0.18049136
81.62269464956907,21.265515867992846,2022,43.43552060000002,0.084510624,0.008368201,-0.11817569
81.64662041330718,21.27230531741191,2022,38.532370910000054,0.3748767,-0.1722246,-0.33444235
81.6310481983948,21.183581191379318,2022,48.11478998000001,0.18083148,0.02998361,-0.2101821
81.61532616093437,21.29938430631156,2022,49.89728740999999,0.060411207,0.02093063,-0.084826015
81.69254912803783,21.224549711153085,2022,41.99311616,0.20607205,-0.05758835,-0.20764276
81.58859701547567,21.341735738565287,2022,51.001307870000005,0.09719706,0.02998085,-0.13415435
81.74878869667515,21.250355275214158,2022,49.018856270000015,0.12490111,0.009800425,-0.13798825
81.64187400306523,21.18526758877053,2022,44.62328255,0.14486049,0.053090997,-0.1780501
81.56804134485691,21.330089958057087,2022,41.26507790000005,0.1774997,-0.034593675,-0.20242995
81.5587607850772,21.223125827257796,2022,50.297195750000014,0.13365674,0.029398546,-0.16362894
81.69021654353459,21.143255883891094,2022,44.51732393000003,0.15547268,-0.0010979358,-0.18419978
81.70736620175325,21.300752867811095,2022,49.417055600000026,0.11609953,0.06256572,-0.15724948
81.6325132624881,21.17030032400489,2022,48.591603770000006,0.17493236,0.02854916,-0.20503455
81.60666824588452,21.240612336772916,2022,42.28022984000006,0.16931577,-0.03448507,-0.16057545
81.68607917871208,21.32143384310733,2022,47.72513570000001,0.15382318,0.02600145,-0.1735399
81.5574165068775,21.337489150536285,2022,40.76262896000003,0.18170966,-0.04649461,-0.18707226
81.55962584084023,21.163410781877015,2022,49.88361533,0.11318155,0.06422879,-0.16926257
81.77145792719335,21.226083133157,2022,52.13438150000002,0.123204835,0.0433663,-0.16465978
81.5010443674584,21.22226826739421,2022,48.84795527000006,0.09506096,0.058702935,-0.13575278
81.62984541538322,21.188290542589023,2022,45.06249811999999,0.20876904,-0.005002898,-0.22226757
81.67605159436344,21.17288789058122,2022,49.55206739000005,0.11484256,0.08837958,-0.16723163
81.58965751049827,21.288172277847558,2022,45.814462520000006,0.14980985,0.004452785,-0.15712869
